year_edition,rider_name,team,bib_number,nationality,birthdate,height,weight,speciality_one_day_races,speciality_gc,speciality_time_trial,speciality_sprint,speciality_climber,speciality_hills,age,bmi,name_clean,rank,nat_AR,nat_AT,nat_AU,nat_BE,nat_CA,nat_CH,nat_CO,nat_CZ,nat_DE,nat_DK,nat_EE,nat_ER,nat_ES,nat_FR,nat_GB,nat_HR,nat_IE,nat_IT,nat_KZ,nat_LT,nat_LU,nat_LV,nat_NL,nat_NO,nat_NZ,nat_Other,nat_PL,nat_PT,nat_RU,nat_SI,nat_SK,nat_US,nat_ZA,climber_cat,speciality_climber_cat,speciality_gc_cat,speciality_sprint_cat,speciality_time_trial_cat,speciality_one_day_races_cat,speciality_hills_cat,speciality_gc_cat_num,speciality_climber_cat_num,speciality_time_trial_cat_num,age_group,age_group_adj,rank_group
2014,INTXAUSTI Beñat,Movistar Team (WT),15,ES,1986-3-20,1.75,61.0,349,2139,752,0,1436,518,28,19.918367346938776,benat intxausti,142.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Low,Medium,Low,Medium,2,2,1,"(25, 30]","(25, 30]",Below 10
2014,PLAZA Rubén,Movistar Team (WT),17,ES,1980-2-29,1.91,77.0,450,2409,2023,3,1126,470,34,21.106877552698663,ruben plaza,143.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Medium,High,Low,High,Low,Medium,2,1,2,"(30, 35]","(30, 35]",Below 10
2014,ROJAS José Joaquín,Movistar Team (WT),18,ES,1985-6-8,1.77,70.0,3020,1993,129,1050,1390,3162,29,22.34351559258195,jose joaquin rojas,149.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,High,Low,High,High,2,2,0,"(25, 30]","(25, 30]",Below 10
2014,VISCONTI Giovanni,Movistar Team (WT),19,IT,1983-1-13,1.75,63.0,5550,1979,802,64,2817,1624,31,20.571428571428573,giovanni visconti,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Medium,High,High,High,2,2,2,"(30, 35]","(30, 35]",Below 10
2014,KRISTOFF Alexander,Team Katusha  (WT),23,NO,1987-7-5,1.83,78.0,11319,2254,301,10136,480,5284,26,23.291229956104985,alexander kristoff,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Low,Medium,High,High,Medium,High,High,2,1,1,"(25, 30]","(25, 30]",Below 10
2014,PAOLINI Luca,Team Katusha  (WT),24,IT,1977-1-17,1.74,66.0,5778,666,77,673,635,910,37,21.79944510503369,luca paolini,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Low,High,Low,High,Medium,0,1,0,"(35, 40]","(35, 45]",Below 10
2014,PORSEV Alexander,Team Katusha  (WT),25,RU,1986-2-21,1.85,80.0,738,292,210,406,27,145,28,23.37472607742878,alexander porsev,144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low,Low,Low,High,Medium,Medium,Low,0,0,1,"(25, 30]","(25, 30]",Below 10
2014,BENNATI Daniele,Tinkoff - Saxo (WT),32,IT,1980-9-24,1.83,71.0,3137,1090,1106,1841,512,2612,33,21.20099137030069,daniele bennati,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High,High,High,High,1,1,2,"(30, 35]","(30, 35]",Below 10
2014,MAJKA Rafał,Tinkoff - Saxo (WT),34,PL,1989-9-12,1.73,62.0,1184,5689,919,40,6358,1922,24,20.715693808680545,rafał majka,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,High,High,High,Low,High,Medium,High,2,2,2,"(20, 25]","(20, 25]",Below 10
2014,MØRKØV Michael,Tinkoff - Saxo (WT),35,DK,1985-4-30,1.83,71.0,1239,978,366,711,143,518,29,21.20099137030069,michael mørkøv,88.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,High,Medium,Medium,Medium,1,0,1,"(25, 30]","(25, 30]",Below 10
2014,ROCHE Nicolas,Tinkoff - Saxo (WT),37,IE,1984-7-3,1.78,70.0,1352,3473,672,192,3660,2294,29,22.093170054286077,nicolas roche,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Medium,Medium,Medium,High,2,2,1,"(25, 30]","(25, 30]",Below 10
2014,ROGERS Michael,Tinkoff - Saxo (WT),38,AU,1979-12-20,1.85,74.0,634,5362,5388,64,1546,746,34,21.62162162162162,michael rogers,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Medium,High,Low,Medium,2,2,2,"(30, 35]","(30, 35]",Below 10
2014,TOSATTO Matteo,Tinkoff - Saxo (WT),39,IT,1974-5-14,1.81,74.0,1847,930,283,228,258,480,40,22.587833094227893,matteo tosatto,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Medium,Medium,High,Medium,1,1,1,"(35, 40]","(35, 45]",Below 10
2014,NIBALI Vincenzo,Astana Pro Team (WT),41,IT,1984-11-14,1.81,65.0,4805,9872,3781,274,9273,2889,29,19.84066420438937,vincenzo nibali,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,High,High,High,High,2,2,2,"(25, 30]","(25, 30]",Top 3
2014,FUGLSANG Jakob,Astana Pro Team (WT),42,DK,1985-3-22,1.82,67.0,3654,6658,1693,191,5816,2402,29,20.227025721531216,jakob fuglsang,34.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,Medium,High,High,High,2,2,2,"(25, 30]","(25, 30]",Below 10
2014,GRUZDEV Dmitriy,Astana Pro Team (WT),44,KZ,1986-3-13,1.86,78.0,598,774,913,10,14,22,28,22.54595907041276,dmitriy gruzdev,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,Low,High,Low,Low,0,0,2,"(25, 30]","(25, 30]",Below 10
2014,IGLINSKIY Maxim,Astana Pro Team (WT),45,KZ,1981-4-18,1.71,67.0,1730,867,203,21,600,596,33,22.91303307000445,maxim iglinskiy,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Low,Medium,Medium,Medium,1,1,1,"(30, 35]","(30, 35]",Below 10
2014,KANGERT Tanel,Astana Pro Team (WT),46,EE,1987-3-11,1.78,65.0,792,2357,1490,10,1679,609,27,20.515086478979924,tanel kangert,20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Low,High,Medium,Medium,2,2,2,"(25, 30]","(25, 30]",Below 10
2014,SCARPONI Michele,Astana Pro Team (WT),47,IT,1979-9-25,1.74,62.0,1579,4968,1302,64,4568,1392,34,20.478266613819528,michele scarponi,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,Medium,High,Medium,Medium,2,2,2,"(30, 35]","(30, 35]",Below 10
2014,VANOTTI Alessandro,Astana Pro Team (WT),48,IT,1980-9-16,1.85,70.0,139,516,47,20,113,173,33,20.45288531775018,alessandro vanotti,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,0,0,0,"(30, 35]","(30, 35]",Below 10
2014,WESTRA Lieuwe,Astana Pro Team (WT),49,NL,1982-9-11,1.85,74.0,384,1597,2720,45,352,431,31,21.62162162162162,lieuwe westra,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Low,High,Low,Low,1,1,2,"(30, 35]","(30, 35]",Below 10
2014,SAGAN Peter,Cannondale  (WT),51,SK,1990-1-26,1.82,78.0,9426,1797,1335,5996,2578,8566,24,23.54788069073783,peter sagan,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Medium,High,Medium,High,High,High,High,1,2,2,"(20, 25]","(20, 25]",Below 10
2014,BODNAR Maciej,Cannondale  (WT),52,PL,1985-3-7,1.86,77.0,303,883,3562,86,18,138,29,22.25690831309978,maciej bodnar,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low,Low,Medium,Medium,High,Low,Low,1,0,2,"(25, 30]","(25, 30]",Below 10
2014,KOREN Kristijan,Cannondale  (WT),55,SI,1986-11-25,1.83,72.0,704,522,578,12,205,174,27,21.49959688255845,kristijan koren,148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low,Low,Low,Low,Medium,Low,Low,0,0,1,"(25, 30]","(25, 30]",Below 10
2014,MARCATO Marco,Cannondale  (WT),56,IT,1984-2-11,1.74,67.0,3321,1701,156,84,428,785,30,22.12973972783723,marco marcato,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Medium,Low,High,Medium,1,1,0,"(25, 30]","(25, 30]",Below 10
2014,SABATINI Fabio,Cannondale  (WT),58,IT,1985-2-18,1.87,74.0,506,578,87,284,61,285,29,21.161600274528865,fabio sabatini,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,High,Low,Low,Low,0,0,0,"(25, 30]","(25, 30]",Below 10
2014,MOLLEMA Bauke,Belkin-Pro Cycling Team (WT),61,NL,1986-11-26,1.84,64.0,5218,6013,2080,179,7443,4110,27,18.90359168241966,bauke mollema,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,High,High,High,Medium,High,High,High,2,2,2,"(25, 30]","(25, 30]",Top 10
2014,BOOM Lars,Belkin-Pro Cycling Team (WT),62,NL,1985-12-30,1.91,75.0,1484,2101,2981,485,145,585,28,20.558646966914285,lars boom,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,High,High,High,Medium,Medium,2,0,2,"(25, 30]","(25, 30]",Below 10
2014,KRUIJSWIJK Steven,Belkin-Pro Cycling Team (WT),64,NL,1987-6-7,1.78,63.0,344,4479,1440,16,3983,1318,27,19.883853048857468,steven kruijswijk,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Low,High,Low,Medium,2,2,2,"(25, 30]","(25, 30]",Below 10
2014,TANKINK Bram,Belkin-Pro Cycling Team (WT),66,NL,1978-12-3,1.81,71.0,1143,1186,308,18,130,344,35,21.672110130948383,bram tankink,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,Low,Medium,Medium,Low,1,0,1,"(30, 35]","(30, 35]",Below 10
2014,VANMARCKE Sep,Belkin-Pro Cycling Team (WT),68,BE,1988-7-28,1.9,77.0,4870,782,267,970,380,1748,25,21.32963988919668,sep vanmarcke,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Low,High,Medium,High,High,0,1,1,"(20, 25]","(20, 25]",Below 10
2014,BAKELANTS Jan,Omega Pharma - Quick-Step (WT),72,BE,1986-2-14,1.77,67.0,1991,2656,314,100,1758,1818,28,21.38593635289987,jan bakelants,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Medium,Medium,High,High,2,2,1,"(25, 30]","(25, 30]",Below 10
2014,KWIATKOWSKI Michał,Omega Pharma - Quick-Step (WT),74,PL,1990-6-2,1.76,68.0,4717,3670,3561,281,3312,3584,24,21.952479338842977,michał kwiatkowski,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium,High,High,High,High,High,High,2,2,2,"(20, 25]","(20, 25]",Below 10
2014,MARTIN Tony,Omega Pharma - Quick-Step (WT),75,DE,1985-4-23,1.85,75.0,408,3738,10664,165,829,1670,29,21.91380569758948,tony martin,41.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,High,Medium,High,Low,High,2,1,2,"(25, 30]","(25, 30]",Below 10
2014,PETACCHI Alessandro,Omega Pharma - Quick-Step (WT),76,IT,1974-1-3,1.85,70.0,3265,1323,334,4716,508,2990,40,20.45288531775018,alessandro petacchi,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High,Medium,High,High,1,1,1,"(35, 40]","(35, 45]",Below 10
2014,RENSHAW Mark,Omega Pharma - Quick-Step (WT),77,AU,1982-10-22,1.79,74.0,1363,555,301,896,14,155,31,23.095409007209515,mark renshaw,77.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,High,Medium,Medium,Low,0,0,1,"(30, 35]","(30, 35]",Below 10
2014,TERPSTRA Niki,Omega Pharma - Quick-Step (WT),78,NL,1984-5-18,1.9,75.0,4666,2405,1739,792,193,1126,30,20.775623268698062,niki terpstra,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,High,High,High,High,Medium,2,0,2,"(25, 30]","(25, 30]",Below 10
2014,TRENTIN Matteo,Omega Pharma - Quick-Step (WT),79,IT,1989-8-2,1.79,74.0,5446,1019,334,1994,1014,4131,24,23.095409007209515,matteo trentin,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Medium,Medium,High,Medium,High,High,1,1,1,"(20, 25]","(20, 25]",Below 10
2014,PERAUD Jean-Christophe,AG2R La Mondiale (WT),81,FR,1977-5-22,1.72,62.0,159,3073,1651,0,1654,549,37,20.9572742022715,jean-christophe peraud,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Low,High,Low,Medium,2,2,2,"(35, 40]","(35, 45]",Top 3
2014,BARDET Romain,AG2R La Mondiale (WT),82,FR,1990-11-9,1.85,65.0,3401,6495,401,366,8511,2067,23,18.991964937910883,romain bardet,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,High,High,High,Medium,High,High,2,2,1,"(20, 25]","(20, 25]",Top 10
2014,CHEREL Mikaël,AG2R La Mondiale (WT),83,FR,1986-3-17,1.83,65.0,654,1318,0,24,597,486,28,19.40935829675416,mikael cherel,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,Low,Low,Low,Medium,1,1,0,"(25, 30]","(25, 30]",Below 10
2014,DUMOULIN Samuel,AG2R La Mondiale (WT),84,FR,1980-8-20,1.59,57.0,3742,1279,91,807,272,1494,33,22.54657648036074,samuel dumoulin,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High,Low,High,High,1,1,0,"(30, 35]","(30, 35]",Below 10
2014,ACEVEDO Janier,Garmin Sharp (WT),92,CO,1985-12-6,1.75,63.0,91,582,212,6,304,166,28,20.571428571428573,janier acevedo,138.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Low,Low,Medium,Low,Low,0,1,1,"(25, 30]","(25, 30]",Below 10
2014,BAUER Jack,Garmin Sharp (WT),93,NZ,1985-4-7,1.91,74.0,702,775,773,60,120,206,29,20.28453167402209,jack bauer,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low,Low,Low,Medium,High,Low,Low,0,0,2,"(25, 30]","(25, 30]",Below 10
2014,HOWES Alex,Garmin Sharp (WT),94,US,1988-1-1,1.8,61.0,409,482,12,66,119,200,26,18.82716049382716,alex howes,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,Low,Low,Medium,Low,Low,Low,0,0,0,"(25, 30]","(25, 30]",Below 10
2014,KING Ben,Garmin Sharp (WT),95,US,1989-3-22,1.83,68.0,245,437,368,5,458,264,25,20.305174833527424,ben king,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,Medium,Low,Low,Medium,Low,Low,0,1,1,"(20, 25]","(20, 25]",Below 10
2014,LANGEVELD Sebastian,Garmin Sharp (WT),96,NL,1985-1-17,1.78,67.0,2265,1255,1114,163,88,488,29,21.146319909102385,sebastian langeveld,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,Medium,High,High,Medium,1,0,2,"(25, 30]","(25, 30]",Below 10
2014,NAVARDAUSKAS Ramūnas,Garmin Sharp (WT),97,LT,1988-1-30,1.9,79.0,1113,1025,1203,368,304,1050,26,21.88365650969529,ramunas navardauskas,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High,High,Medium,Medium,1,1,2,"(25, 30]","(25, 30]",Below 10
2014,SLAGTER Tom-Jelte,Garmin Sharp (WT),98,NL,1989-7-1,1.69,57.0,1496,1293,223,12,1284,896,25,19.95728440880922,tom-jelte slagter,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium,Medium,Medium,Low,Medium,Medium,Medium,1,1,1,"(20, 25]","(20, 25]",Below 10
2014,KITTEL Marcel,Team Giant - Shimano (WT),101,DE,1988-5-11,1.88,82.0,1908,820,833,2994,1,231,26,23.20054323223178,marcel kittel,80.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Medium,High,High,High,Low,1,0,2,"(25, 30]","(25, 30]",Below 10
2014,CURVERS Roy,Team Giant - Shimano (WT),102,NL,1979-12-27,1.88,73.0,1253,361,0,20,32,54,34,20.65414214576732,roy curvers,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Medium,Low,0,0,0,"(30, 35]","(30, 35]",Below 10
2014,DEGENKOLB John,Team Giant - Shimano (WT),104,DE,1989-1-7,1.8,82.0,6464,1231,297,3248,315,3315,25,25.30864197530864,john degenkolb,82.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,Medium,High,Medium,High,High,1,1,1,"(20, 25]","(20, 25]",Below 10
2014,DEVENYNS Dries,Team Giant - Shimano (WT),105,BE,1983-7-22,1.77,65.0,1594,1907,796,85,890,1106,30,20.747550193111813,dries devenyns,75.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Medium,High,Medium,High,Medium,Medium,2,1,2,"(25, 30]","(25, 30]",Below 10
2014,DUMOULIN Tom,Team Giant - Shimano (WT),106,NL,1990-11-11,1.85,69.0,1147,4404,6256,100,3163,2211,23,20.16070124178232,tom dumoulin,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium,High,High,Medium,High,Medium,High,2,2,2,"(20, 25]","(20, 25]",Below 10
2014,JI Cheng,Team Giant - Shimano (WT),107,CN,1987-7-15,1.78,67.0,5,118,0,0,0,0,26,21.146319909102385,cheng ji,164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,0,0,0,"(25, 30]","(25, 30]",Below 10
2014,TIMMER Albert,Team Giant - Shimano (WT),108,NL,1985-6-13,1.86,77.0,165,472,134,33,62,4,29,22.25690831309978,albert timmer,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,0,0,0,"(25, 30]","(25, 30]",Below 10
2014,CIMOLAI Davide,Lampre - Merida (WT),112,IT,1989-8-13,1.81,70.0,1187,605,6,1023,141,1472,24,21.36686914318855,davide cimolai,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Low,Low,High,Low,Medium,High,0,0,0,"(20, 25]","(20, 25]",Below 10
