name,rider_url,team,team_url,bib_number,nationality,birthdate,place_of_birth,height,weight,pcs_rank,uci_world_rank,all_time_rank,one_day_races,gc,time_trial,sprint,climber,hills
PAGE Hugo,hugo-page,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,FR,2001-7-24,Chartres,1.85,71.0,,,,573,162,77,246,48,629
REX Laurenz,laurenz-rex,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,BE,1999-12-15,Marbourg,1.93,82.0,,,,778,65,2,367,16,247
ZIMMERMANN Georg,georg-zimmermann,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,DE,1997-10-11,Augsburg,1.81,70.0,,,,988,683,0,63,665,780
GOOSSENS Kobe,kobe-goossens,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,BE,1996-4-29,Leuven,1.78,64.0,,,,416,349,23,22,242,326
BARRÉ Louis,louis-barre,Intermarché - Wanty (WT),team/intermarche-wanty-2025,,FR,2000-4-6,Nantes,1.84,68.0,,,,508,278,0,4,203,411
MILAN Jonathan,jonathan-milan,Lidl - Trek (WT),team/lidl-trek-2025,,IT,2000-10-1,Tolmezzo,1.96,87.0,,,,696,115,335,1356,62,1159
SKJELMOSE Mattias,mattias-skjelmose-jensen,Lidl - Trek (WT),team/lidl-trek-2025,,DK,2000-9-26,Copenhagen,1.8,65.0,,,,1386,2225,1084,126,2108,1408
STUYVEN Jasper,jasper-stuyven,Lidl - Trek (WT),team/lidl-trek-2025,,BE,1992-4-17, Leuven,1.87,78.0,,,,4842,1314,284,1602,697,3441
THEUNS Edward,edward-theuns,Lidl - Trek (WT),team/lidl-trek-2025,,BE,1991-4-30,Gent,1.83,72.0,,,,2741,676,131,1622,26,1007
CONSONNI Simone,simone-consonni,Lidl - Trek (WT),team/lidl-trek-2025,,IT,1994-9-12,Ponte San Pietro,1.65,60.0,,,,1588,348,25,1296,82,1450
BERNARD Julien,julien-bernard,Lidl - Trek (WT),team/lidl-trek-2025,,FR,1992-3-17,Nevers,1.76,60.0,,,,236,778,43,22,382,298
GEOGHEGAN HART Tao,tao-geoghegan-hart,Lidl - Trek (WT),team/lidl-trek-2025,,GB,1995-3-30,London,1.83,65.0,,,,262,2709,911,158,2116,658
NYS Thibau,thibau-nys,Lidl - Trek (WT),team/lidl-trek-2025,,BE,2002-11-12,Bonheiden,1.76,64.0,,,,665,309,56,196,604,701
GAUDU David,david-gaudu,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR,1996-10-10,Landivisiau,1.72,53.0,,,,1762,3136,160,17,4052,1214
MARTIN Guillaume,guillaume-martin,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR,1993-6-9,Paris,1.73,55.0,,,,2570,3896,10,81,4014,1760
MADOUAS Valentin,valentin-madouas,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR,1996-7-12,Brest,1.79,71.0,,,,3266,1207,93,190,1640,1784
GRÉGOIRE Romain,romain-gregoire1,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR,2003-1-21,Besançon,1.76,64.0,,,,1103,718,270,41,924,1126
PACHER Quentin,quentin-pacher,Groupama - FDJ (WT),team/groupama-fdj-2025,,FR,1992-1-6,Libourne,1.79,62.0,,,,876,1051,122,84,1034,1540
CASTRILLO Pablo,pablo-castrillo-zapater,Movistar Team (WT),team/movistar-team-2025,,ES,2001-1-2,Jaca,1.83,74.0,,,,63,506,197,0,528,188
MAS Enric,enric-mas,Movistar Team (WT),team/movistar-team-2025,,ES,1995-1-7,Artà,1.77,61.0,,,,993,4995,666,19,5690,1364
OLIVEIRA Nelson,nelson-oliveira,Movistar Team (WT),team/movistar-team-2025,,PT,1989-3-6,Anadia,1.8,67.0,,,,624,1209,3816,24,546,884
RUBIO Einer,einer-rubio,Movistar Team (WT),team/movistar-team-2025,,CO,1998-2-22,Chíquiza,1.64,56.0,,,,199,1533,61,8,1634,356
GAVIRIA Fernando,fernando-gaviria,Movistar Team (WT),team/movistar-team-2025,,CO,1994-8-19,La Ceja,1.81,71.0,,,,1866,211,85,4630,116,1848
ROMEO Iván,ivan-romeo,Movistar Team (WT),team/movistar-team-2025,,ES,2003-8-16,Valladolid,1.93,75.0,,,,146,311,384,55,204,156
ROMO Javier,javier-romo,Movistar Team (WT),team/movistar-team-2025,,ES,1999-1-6,Villafranca de los Caballeros,1.84,70.0,,,,228,636,54,14,343,309
ONLEY Oscar,oscar-onley,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,GB,2002-10-13,Kelso,1.73,62.0,,,,225,1371,127,5,988,826
VAN DEN BROEK Frank,frank-van-den-broek,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,NL,2000-12-28,Warmond,1.78,70.0,,,,120,392,54,26,270,222
ANDRESEN Tobias Lund,tobias-lund-andresen,Team Picnic PostNL (WT),team/team-picnic-postnl-2025,,DK,2002-8-20,Taastrup,1.81,69.0,,,,429,290,8,727,118,658
O'CONNOR Ben,ben-o-connor,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,AU,1995-11-25,Subiaco,1.88,67.0,,,,751,3432,596,53,3055,942
DUNBAR Eddie,edward-irl-dunbar,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,IE,1996-9-1,Banteer,1.7,57.0,,,,342,1469,298,24,1054,515
SCHMID Mauro,mauro-schmid,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,CH,1999-12-4,Bülach,1.87,70.0,,,,658,906,584,6,924,922
GROENEWEGEN Dylan,dylan-groenewegen,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,NL,1993-6-21,Amsterdam,1.77,70.0,,,,4065,385,15,8072,38,1031
MEZGEC Luka,luka-mezgec,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,SI,1988-6-27,Kranj,1.83,72.0,,,,1611,640,33,1195,238,2216
REINDERS Elmar,elmar-reinders,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,NL,1992-3-14,Emmen,1.9,78.1,,,,519,171,131,682,22,74
JUUL-JENSEN Christopher,christopher-juul-jensen,Team Jayco AlUla (WT),team/team-jayco-alula-2025,,DK,1989-7-6,Kilmacanogue,1.83,73.0,,,,697,1137,357,2,154,218
MARTINEZ Lenny,lenny-martinez,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,FR,2003-7-11,Cannes,1.68,52.0,,,,866,966,217,4,1337,378
BUITRAGO Santiago,santiago-buitrago-sanchez,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,CO,1999-9-26,Bogotá,1.74,59.0,,,,514,1648,202,43,1835,674
MOHORIČ Matej,matej-mohoric,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,SI,1994-10-19,Kranj,1.86,71.0,,,,2986,2331,352,696,1610,2820
BAUHAUS Phil,phil-bauhaus,Bahrain - Victorious (WT),team/bahrain-victorious-2025,,DE,1994-7-8,Bocholt,1.84,75.0,,,,924,266,1,2216,0,1687
VELASCO Simone,simone-velasco,XDS Astana Team (WT),team/xds-astana-team-2025,,IT,1995-12-2,Bologna,1.7,59.0,,,,1852,509,55,45,934,1364
TEJADA Harold,harold-tejada,XDS Astana Team (WT),team/xds-astana-team-2025,,CO,1997-4-27,Pitalito,1.8,63.0,,,,96,760,318,12,658,662
CHAMPOUSSIN Clément,clement-champoussin,XDS Astana Team (WT),team/xds-astana-team-2025,,FR,1998-5-29,Nice,1.8,61.0,,,,1155,764,71,32,1498,1038
DE LIE Arnaud,arnaud-de-lie,Lotto (PRT),team/lotto-2025,,BE,2002-3-16,Libramont,1.82,78.0,,,,3819,276,1,1592,119,1472
VAN EETVELT Lennert,lennert-van-eetvelt,Lotto (PRT),team/lotto-2025,,BE,2001-7-17,Binkom,1.76,63.0,,,,583,994,103,12,1112,457
DE BUYST Jasper,jasper-de-buyst,Lotto (PRT),team/lotto-2025,,BE,1993-11-24, Asse,1.79,72.0,,,,1683,675,128,902,160,885
BERCKMOES Jenno,jenno-berckmoes,Lotto (PRT),team/lotto-2025,,BE,2001-2-4,Ghent,1.77,61.0,,,,429,383,58,86,110,352
ACKERMANN Pascal,pascal-ackermann,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,DE,1994-1-17,Kandel,1.8,78.0,,,,3606,355,68,3524,126,1925
BLACKMORE Joseph,joseph-blackmore,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,GB,2003-2-23,Sidcup,1.81,66.0,,,,252,434,75,20,269,386
WOODS Michael,michael-woods,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,CA,1986-10-12,Toronto,1.75,62.0,,,,3257,2295,40,188,4494,1787
LUTSENKO Alexey,aleksey-lutsenko,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,KZ,1992-9-7,Petropavl,1.74,74.0,,,,2420,3216,1121,972,2690,1676
STEWART Jake,jake-stewart,Israel - Premier Tech (PRT),team/israel-premier-tech-2025,,GB,1999-10-2,Coventry,1.79,66.0,,,,529,427,28,533,115,800
BURGAUDEAU Mathieu,mathieu-burgaudeau,Team TotalEnergies (PRT),team/team-totalenergies-2025,,FR,1998-11-17,Noirmoutier-en-l'Île,1.68,61.0,,,,761,508,28,26,572,782
ALAPHILIPPE Julian,julian-alaphilippe,Tudor Pro Cycling Team (PRT),team/tudor-pro-cycling-team-2025,,FR,1992-6-11,Saint-Amand-Montrond,1.73,62.0,,,,6670,2738,1430,774,5303,4658
CORT Magnus,magnus-cort-nielsen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,DK,1993-1-16,Rønne,1.84,68.0,,,,1646,1453,825,1095,1188,2688
WÆRENSKJOLD Søren,soren-waerenskjold,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,2000-3-12,Mandal,1.95,92.0,,,,802,625,810,581,28,315
LEKNESSUND Andreas,andreas-leknessund,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,1999-5-21,Tromsø,1.86,72.0,,,,313,996,535,4,640,314
JOHANNESSEN Tobias Halland,tobias-halland-johannessen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,1999-8-23,Drøbak,1.76,62.0,,,,767,1123,61,28,1142,917
JOHANNESSEN Anders Halland,anders-halland-johannessen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,1999-8-23,,1.76,,,,,94,339,31,28,183,122
ABRAHAMSEN Jonas,jonas-abrahamsen,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,1995-9-20,Skien,1.83,78.0,,,,677,149,11,292,86,242
HOELGAARD Markus,markus-hoelgaard,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,1994-10-4,Stavanger,1.88,74.0,,,,784,764,24,158,278,764
FREDHEIM Stian,stian-fredheim,Uno-X Mobility (PRT),team/uno-x-mobility-2025,,NO,2003-3-23,Kristiansand,1.84,72.0,,,,410,20,0,394,4,119
